movie_img,movie_name,movie_name_e,movie_director,movie_actor,movie_cate,movie_age,movie_date,movie_content
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81748/81748_185.jpg,어글리 돌,UglyDolls,켈리 애스버리,"켈리 클락슨,닉 조나스,자넬 모네,핏불,엠마 로버츠",장르 : 애니메이션,"미정, 0분, 미국",,"
                ,
 ,
춤과 노래가 멈추지 않는 행복 마을 ‘어글리 빌’에 사는 ,
사랑둥이 인싸돌 ‘모씨’는 마을 바깥에 어떤 세상이 있을지 늘 궁금해한다.,
모씨는 친구 ‘어글리독’, ‘웨이지’, ‘럭키 뱃’, ‘바보’와 함께 파이프 건너편으로 모험을 떠나기로 결심하고,
외모도 성격도 너무 완벽한 ‘퍼펙션 스쿨’의 ‘루’와 ‘맨디‘를 만나 새롭고 짜릿한 세상을 경험한다!,
퍼펙션 스쿨에서 최고의 애착 인형이 되기 위한 스파르타 수업에 몰두하던 이들은,
인형들의 숨겨진 진실을 마주하고 마는데…,
 ,
,
            "
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81750/81750_185.jpg,뷰티풀 보이스,Hakuna Matata Pole Pole,김선웅,"박호산,이이경,문지인,김민주,김정팔,배유람,연제욱,양조아,배다빈",장르 : 코미디,"미정, 0분, 한국",,"
                ,
 ,
단 하루 만에 더빙을 끝내야 하는 프로젝트에 모인 노답 흙수저 성우들.,
오늘도 존버해보지만 갑질 시추에이션에 하나 둘 지쳐가고,,
짠내 가득한 좁아터진 유리 부스 안에서 모두가 터지기 일보직전!,
그들의 이야기는 점차 예측할 수 없는 탈우주급 전개로 향하는데…,
 ,
목청발랄 NEW 히어로들의 탈우주급 미션을 향한 대환장 서사시가 시작된다!
            "
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81761/81761_185.jpg,라플라스의 마녀,Laplace's Witch,미이케 다카시,사쿠라이 쇼,"장르 : 미스터리, 스릴러","12세 이상, 115분, 일본",,"
                ,
            "
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81763/81763_185.jpg,스탈린이 죽었다!,The Death of Stalin,아만도 이아누치,, / 기본 : ,"15세 이상, 107분, 영국",,"
                ,
,
1953년 소련의 절대 권력자 스탈린이 갑작스럽게 쓰러진다.,
권력을 향한 치열한 암투가 시작되고,
스탈린의 장례식이 거행되는 운명의 날은 밝아온다.
            "
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81766/81766_185.jpg,롱 샷,LONG SHOT,조나단 레빈,"샤를리즈 테론,세스 로건,앤디 서키스",장르 : 코미디,"미정, 0분, 미국",,"
                
            "
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81674/81674_185.jpg,헬보이,Hellboy,닐 마샬,"데이빗 하버,밀라 요보비치","장르 : 액션, 환타지, 어드벤처","청소년 관람불가, 121분, 미국",,"
                ,
            "
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81727/81727_185.jpg,명탐정 피카츄,Pokemon Detective Pikachu,롭 레터맨,"라이언 레이놀즈,저스티스 스미스","장르 : 액션, 환타지","미정, 0분, 미국, 일본",,"
                ,
            "
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81619/81619_185.jpg,스파이더맨-파 프롬 홈,Spider-Man: Far From Home,존 왓츠,"톰 홀랜드,제이크 질렌할","장르 : 액션, SF, 어드벤처, 코미디","미정, 0분, 미국",,"
                ,
            "
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81631/81631_185.jpg,맨 인 블랙-인터내셔널,Men in Black: International,F. 게리 그레이,"크리스 헴스워스,테사 톰슨,리암 니슨","장르 : 액션, SF, 코미디","미정, 0분, 미국",,"
                
            "
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81716/81716_185.jpg,예수보다 낯선,Stranger than Jesus,여균동,"조복래,여균동",장르 : 코미디,"15세 이상, 80분, 한국",,"
                ,
            "
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81567/81567_185.jpg,알리타-배틀 엔젤,Alita-Battle Angel,로버트 로드리게즈,"로사 살라자르,크리스토프 왈츠,키언 존슨,마허샬라 알리,제니퍼 코넬리","장르 : 로맨스, 액션, SF, 스릴러, 어드벤처, 멜로","12세 이상, 122분, 미국, 아르헨티나, 캐나다",,"
                ,
            "
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81533/81533_185.jpg,캡틴 마블,Captain Marvel,"애너 보든,라이언 플렉","브리 라슨,사무엘 L. 잭슨,벤 멘델슨,주드 로","장르 : 액션, SF, 어드벤처","12세 이상, 124분, 미국",,"
                ,
            "
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81685/81685_185.jpg,왓칭,Watching,김성기,"강예원,이학주","장르 : 호러, 스릴러","15세 이상, 98분, 한국",,"
                ,
            "
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81700/81700_185.jpg,공포의 묘지,Pet Sematary,"케빈 콜쉬,데니스 위드미어","제이슨 클락,존 리스고,에이미 세이메츠","장르 : 호러, 스릴러","15세 이상, 101분, 미국",,"
                ,
            "
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81695/81695_185.jpg,프로디지,The Prodigy,니콜라스 맥카시,"테일러 쉴링,잭슨 로버트 스콧","장르 : 호러, 스릴러","15세 이상, 92분, 미국",,"
                3...2...1. 딸깍 딸깍,
넌 지금 이 몸에 들어오기 이전으로 돌아간다. ,
,
아기때부터 천재적인 지능을 보이며 엄마 '새라'를 흡족하게 하던 완벽한 소년 '마일스' ,
영재교육을 받는 8살이 된 '마일스'는 점점 폭력적이고 손에 집착하는 ,
이상 행동을 하며 무서운 소년으로 변해간다. ,
,
혹시 살인본능?  아니면 사이코패스?,
'마일스'의 증상을 걱정하던 '새라'는 한 의사를 통해 퇴행 최면을 받게 하고, ,
아들이 과거 끔찍한 일을 저지른 사람에게 빙의 됐다는 사실을 알게 된다. 
            "
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81704/81704_185.jpg,더 길티,The Guilty,구스타브 몰러,야곱 세데르그렌,장르 : 스릴러,"12세 이상, 88분, 덴마크",,"
                ,
            "
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81758/81758_185.jpg,판의 미로-오필리아와 세 개의 열쇠,Pan's Labyrinth,기예르모 델 토로,"이바나 바쿠에로,더그 존스","장르 : 환타지, 스릴러","15세 이상, 119분, 멕시코, 미국, 스페인",,"
                ,
            "
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81768/81768_185.jpg,누구나 아는 비밀,Everybody Knows,아쉬가르 파라디,"페넬로페 크루즈,하비에르 바르뎀,리카도 다린",장르 : 드라마,"미정, 132분, 스페인, 이탈리아, 프랑스",,"
                동생의 결혼식을 위해 마드리드 외곽 고향마을에 돌아온 '라우라'와 그의 가족들에게 충격적인 사건이 일어나면서 마침내 오랫동안 감춰진 비밀을 마주하게 된다. 
            "
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81772/81772_185.jpg,베카신!,Becassine!,브뤼노 포달리데,에밀린 바야르트,"장르 : 가족, 어드벤처, 코미디","전체, 96분, 프랑스",,"
                ,
,
20세기 초 파리 근교 브르타뉴의 어느 시골마을 ,
빨래, 바느질, 밭일 뭐 하나 똑 부러지게 못하지만 ,
마음만은 행복한 베카신은 일거리를 찾아 꿈의 도시 파리로 향한다!,
,
부푼 굼을 안고 파리로 가던 길, ,
후작 부인의 집에 입양된 아기 룰로트를 우연히 만난 베카신은 ,
보모로서 특출난(?) 재능을 선보이며 대저택에 특별채용 된다. ,
,
베카신의 남다른 상상력과 기술로 대저택은 활기를 더해가는 무렵, ,
후작 부인의 재산을 노리는 마리오네뜨 놀이꾼이 저택에 눌러 앉게 되는데... 
            "
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81728/81728_185.jpg,요로나의 저주,The Curse of La Llorona,마이클 차베즈,린다 카델리니,장르 : 호러,"15세 이상, 93분, 미국",,"
                ,
            "
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81762/81762_185.jpg,사자,The Divine Fury,김주환,"박서준,안성기,우도환", / 배우 : ,"미정, 0분, 한국",개봉 : ,"
                ,
            "
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81672/81672_185.jpg,개봉미정,,구스타브 몰러,야콥 세데르그렌,장르 : 스릴러,"12세 이상, 88분, 덴마크",,"
                
            "
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81671/81671_185.jpg,서스페리아,Suspiria,루카 구아다니노,"다코타 존슨,틸다 스윈튼,클로이 모레츠,미아 고스",장르 : 호러,"청소년 관람불가, 152분, 미국",,"
                ,

,
            "
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81684/81684_185.jpg,0.0MHz,-,유선동,"정은지,이성열",장르 : 호러,"미정, 0분, 한국",,"
                ,
            "
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81773/81773_185.jpg,이다혜의 북클럽(번외편)-교토의 밤 산책자,CGV ARTHOUSE Class,,,개봉 : ,"전체, 90분, 한국",,"
                ,

,
            "
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81546/81546_185.jpg,고질라-킹 오브 몬스터,Godzilla: King of the Monsters,마이클 도허티,"밀리 바비 브라운,베라 파미가,카일 챈들러,오셔 잭슨 주니어","장르 : 액션, SF, 어드벤처","12세 이상, 132분, 미국",,"
                ,
            "
