movie_img,movie_name,movie_name_e,movie_content,movie_director,movie_actor,movie_cate,movie_age,movie_date
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81780/81780_185.jpg,언더 더 씨2,,,에반 트라멜,"오은수,방지원,송영인,조연우,신정훈,박상우", / 기본 : ,"전체, 0분, 미국",
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81782/81782_185.jpg,더 캡틴,The Captain,,로베르트 슈벤트케,"맥스 후바쳐,밀란 페쉘", / 기본 : ,"15세 이상, 119분, 독일, 캐나다",
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81783/81783_185.jpg,미드 90,Mid90s,,조나 힐,"써니 설직,캐서린 워터스턴,루카스 헤지스,제로드 카마이클", / 기본 : ,"미정, 0분, 미국",
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81784/81784_185.jpg,해피타임 스파이,The Happytime Murders,"
,
인간과 인형들이 함께 사는 평화로운 도시,,
인형들만 노리는 살인형범이 나타났다.,
,
과거의 악연으로 원수지간이 되어버린,
병맛 인형 탐정 ‘필립스’와 열혈 형사 ‘에드워즈’는,
환상적인 궁합(?)을 보이며 범인을 추격하기 시작하는데…,
,
",브라이언 헨슨,"멜리사 맥카시,엘리자베스 뱅크스,마야 루돌프,빌 바레타", / 기본 : ,"청소년 관람불가, 91분, 미국",
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81787/81787_185.jpg,이다혜의 북클럽 시즌 2-히가시노 게이고,CGV ARTHOUSE Class,,,,,"전체, 90분, 한국",
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81786/81786_185.jpg,하나님과의 인터뷰,An Interview with God,"
,
아프가니스탄에서의 종군 생활을 마치고 돌아온 ‘폴’(브렌튼 스웨이츠). 그는 전장에서의 괴로운 기억과 어긋나버린 아내와의 관계로 점차 삶에 지쳐간다.,
그러던 어느 날 ‘폴’은 자신이 신이라고 주장하는 ‘남자’와 세 번의 인터뷰를 약속하게 되고 자신이 말한 적 없는 비밀까지 모두 알고 있는 그와의 대화로 인해 점점 더 혼란에 빠지게 된다.,
한편 ‘남자’는 ‘폴’에게 “자네에겐 시간이 얼마 남지 않았네”라는 의미심장한 말을 건네는데…,
모든 것이 무너지는 순간 선물처럼 찾아온 그와의 인터뷰를 통해 ‘폴’이 발견한 놀라운 진실은 과연 무엇일까?",페리 랑,"데이빗 스트라탄,브렌튼 스웨이츠", / 기본 : ,"전체, 97분, 미국",
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81788/81788_185.jpg,너의 목소리,Your Voice-Kimikoe,,이토 나오유키,"카타히라 미나,미모리 스즈코,타나카 유키", / 기본 : ,"미정, 0분, 일본",
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81759/81759_185.jpg,걸캅스,,"민원실 퇴출 0순위 전직 전설의 형사 '미영'과 민원실로 밀려난 현직 꼴통 형사 '지혜',
집에서는 눈만 마주쳐도 으르렁 대는 시누이 올케 사이인 두 사람은,
민원실에 신고접수를 하기 위해 왔다가 차도에 뛰어든 한 여성을 목격하고,
그녀가 48시간 후 업로드가 예고된 디지털 성범죄 사건의 피해자란 사실을 알게 된다.,
강력반, 사이버 범죄 수사대, 여성청소년계까지 경찰 내 모든 부서들에서,
복잡한 절차와 인력 부족을 이유로 사건이 밀려나자,
‘미영’과 ‘지혜’는 비공식 수사에 나서기로 결심한다.,
 ,
수사가 진전될수록 형사의 본능이 꿈틀대는 ‘미영’과 정의감에 활활 불타는 ‘지혜’는,
드디어 용의자들과 마주할 기회를 잡게 되는데…,
 ,
",정다원,"라미란,이성경,윤상현,최수영","장르 : 액션, 코미디","15세 이상, 107분, 한국",개봉 : 
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81719/81719_185.jpg,필그리미지,Pilgrimage,,브랜든 멀다우니,"톰 홀랜드,존 번탈,리차드 아미티지", / 기본 : ,"미정, 95분, 아일랜드",
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81750/81750_185.jpg,뷰티풀 보이스,Hakuna Matata Pole Pole,,김선웅,"박호산,이이경,문지인,김민주,김정팔,배유람,연제욱,양조아,배다빈", / 기본 : ,"미정, 0분, 한국",
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81768/81768_185.jpg,누구나 아는 비밀,Everybody Knows,,아쉬가르 파라디,"페넬로페 크루즈,하비에르 바르뎀,리카도 다린", / 기본 : ,"미정, 132분, 스페인, 이탈리아, 프랑스",
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81773/81773_185.jpg,이다혜의 북클럽(번외편)-교토의 밤 산책자,CGV ARTHOUSE Class,,,,,"전체, 90분, 한국",
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81767/81767_185.jpg,갤버스턴,Galveston,,멜라니 로랑,"벤 포스터,엘르 패닝,릴리 라인하트,마리아 발베르드", / 기본 : ,"미정, 91분, 미국",
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81723/81723_185.jpg,키코리키-시간여행,Kikoriki: Deja Vu,,데니스 체르노프,"이경태,이상현,김정훈,이인석,신한호,안현서", / 기본 : ,"전체, 78분, 러시아",
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81747/81747_185.jpg,프렌즈-둥지탈출,Manou the Swift,,"안드레아 블록,크리스티안 하스","케이트 윈슬렛,윌렘 데포", / 기본 : ,"전체, 89분, 독일",
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81748/81748_185.jpg,어글리 돌,UglyDolls,,켈리 애스버리,"켈리 클락슨,닉 조나스,자넬 모네,핏불,엠마 로버츠", / 기본 : ,"미정, 0분, 미국",
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81764/81764_185.jpg,몬스터 랜드,Zombillenium,,"아르튀르 드 팽,알렉시스 두코드","이창민,고구인,박성영,서반석,이다은", / 기본 : ,"전체, 74분, 프랑스",
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81761/81761_185.jpg,라플라스의 마녀,Laplace's Witch,"유명 온천 휴양지, 영화 제작자의 시신이 발견된다.,
사인은 황화수소 중독.,
사망 사건이 발생한 지형적 특성상, 단순 사고를 확신하는 ‘아오에(사쿠라이 쇼)’ 교수 앞에,
보험금을 노린 살인 사건으로 의심하는 ‘나카오카(타마키 히로시)’ 형사,,
연쇄 살인의 가능성을 예고하는 미스터리한 소녀 ‘우하라 마도카(히로세 스즈)’가 나타난다.,
 ,
그리고 얼마 뒤, 또 다른 온천 휴양지에서 무명 영화배우가 황화수소 중독으로 사망하는 사건이 발생한다.,
‘아오에’ 교수는, ‘나카오카 ‘형사의 가설하에 0.001%의 살인 가능성을 파헤치게 되는데…,
 ,
,
",미이케 다카시,사쿠라이 쇼, / 기본 : ,"12세 이상, 115분, 일본",
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81727/81727_185.jpg,명탐정 피카츄,Pokemon Detective Pikachu,"
,
,
기억을 잃은 채 깨어난 피카츄, 난 누구? 여긴 어디?,
유일한 단서는 탐정모자에 적힌 해리란 이름과 주소.,
주소 속 아파트에서 자신의 말을 유일하게 알아 듣는,,
실종된 해리의 아들 팀 굿맨을 만나게 된다.,
명탐정의 촉으로 이건 그야말로 대.박.사.건!,
사라진 아빠를 찾기 위해 피카츄와 떠나는 기상천외한 모험이 시작된다.,
피카피카!",롭 레터맨,"라이언 레이놀즈,저스티스 스미스", / 기본 : ,"미정, 0분, 미국, 일본",
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81694/81694_185.jpg,샤잠!,SHAZAM!,,데이비드 F. 샌드버그,"제커리 리바이,애셔 앤젤", / 기본 : ,"12세 이상, 132분, 미국",
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81715/81715_185.jpg,오늘도 평화로운,Super Margin,"
,
",백승기,손이용,"장르 : 액션, 코미디","15세 이상, 90분, 한국",개봉 : 
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81716/81716_185.jpg,예수보다 낯선,Stranger than Jesus,"
,
,
,
,
,
,
,
,
,
",여균동,"조복래,여균동", / 기본 : ,"15세 이상, 80분, 한국",
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81695/81695_185.jpg,프로디지,The Prodigy,,니콜라스 맥카시,"테일러 쉴링,잭슨 로버트 스콧", / 기본 : ,"15세 이상, 92분, 미국",
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81700/81700_185.jpg,공포의 묘지,Pet Sematary,"
,
","케빈 콜쉬,데니스 위드미어","제이슨 클락,존 리스고,에이미 세이메츠", / 기본 : ,"15세 이상, 101분, 미국",
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81685/81685_185.jpg,왓칭,Watching,,김성기,"강예원,이학주", / 기본 : ,"15세 이상, 98분, 한국",
