item_img,item_title,item_price
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/18/1/1/0/9/6/4/PSWni/2022110964_B.jpg,재고보유 특급배송 MSI B360M 박격포,"115,950"
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/19/7/5/2/3/4/7/KcNXZ/2340752347_B.jpg,[브라보텍] JONSBO CR-601 RGB CPU쿨러,
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/18/7/2/6/8/9/5/dNuox/2211726895_B.jpg,ASRock Z390 EXTREME 4 에즈윈 메인보드 추천 (정품) (안전포장),"239,360"
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/17/2/0/8/4/7/1/qeuTf/1706208471_B.jpg,쿨러마스터 HYPER 212 LED Turbo RED CPU쿨러,"43,610"
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/19/0/1/7/9/7/7/SDRWf/2207017977_B.jpg,재고보유 특급배송 MSI Z390-A PRO,"177,650"
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/18/7/3/3/8/9/1/HtQJr/2233733891_B.jpg,[PRIME] ASUS PRIME Z390-A STCOM 메인보드 (정품),"284,040"
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/19/8/4/0/7/6/5/GgvMN/2316840765_B.jpg,ASRock B365M PRO4 에즈윈 인텔 메인보드 (정품),"112,760"
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/18/9/8/1/1/2/7/vtBFT/1924981127_B.jpg,ㅁ재고보유ㅁNZXT KRAKEN X62 BRAVOTEC CPU쿨러 A/S 6년보장,"239,360"
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/18/9/7/4/5/5/9/qNFka/1924974559_B.jpg,재고보유ㅁ미니드라이버세트증정ㅁ NZXT KRAKEN X52 BRAVOTEC CPU쿨러 A/S 6년보장,"227,650"
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/19/0/7/8/8/9/3/FiLuw/2307078893_B.jpg,[DEEPCOOL] GAMMAXX 400 BLUE BASIC CPU쿨러,"29,780"
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/18/6/8/6/0/2/2/bctMh/2241686022_B.jpg,[MSI] MSI B450M 박격포 AMD 메인보드 완충포장,"126,590"
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/18/2/9/6/5/5/6/XQtMH/2138296556_B.jpg,[3RSYS] BYKSKI BY-INR240 수냉쿨러 3RSYS 3년 AS,"73,400"
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/18/1/1/7/7/9/7/WgmcG/1991117797_B.jpg,ㅁ재고보유ㅁ NZXT KRAKEN X72 수냉쿨러 CPU쿨러 인텔/AMD 무상 6년 A/S,"307,440"
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/18/2/4/5/7/7/4/Pgopz/2219245774_B.jpg,MSI B360M 박격포 커피레이크 메인보드 (추천) (정품) (안전포장) (오늘출발),"115,950"
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/19/4/2/8/3/5/5/uLmVD/2350428355_B.jpg,[잘만] CNPS10X OPTIMA II 정품 / CPU쿨러,
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/17/5/1/1/2/7/3/960511273_B.jpg,중고CPU/인텔 AMD 중고CPU/E1200 E2140 E2180 E2200 E4400 E4600 E5200 E5300 E6300 E6420 E6550 E6750 E7400 E8200 Q6600/스파르타/윈저/브리즈번/쿠마/툴리만/아제나/사르가스/레고르/라나/헤카/프로푸스/데네브,
http://i.011st.com/ex_t/R/400x400/1/85/0/src/am/7/9/4/8/5/8/1526794858_B.jpg,초특가 인텔 775 중고CPU Q8200 Q8300 Q9400 Q9500,
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/18/0/7/9/9/1/0/BLFbO/2266079910_B.jpg,AMD 라이젠 5 피나클릿지 2600X [CPU/정품BOX제품/정품쿨러포함/AMD총판직판매/DWCTS],"269,000"
http://i.011st.com/ex_t/R/400x400/1/85/0/src/am/7/8/7/3/2/4/1526787324_B.jpg,초특가 인텔 775 중고CPU E8200 E8300 E8400 E8500,
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/18/0/8/3/7/1/9/bcUfe/2266083719_B.jpg,AMD 라이젠 7 피나클릿지 2700 [CPU/정품BOX제품/정품쿨러포함/AMD총판직판매/DWCTS],"328,720"
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/19/5/2/9/8/4/9/xVIhU/2371529849_B.jpg,인텔 4세대 코어 i5-4690 하스웰 리프레시,
http://i.011st.com/ex_t/R/400x400/1/85/0/src/dl/19/4/4/5/9/5/0/XEidt/1774445950_128722763.jpg,써모랩 트리니티 TRINITY WHITE LED CPU쿨러.,
